Executed,Date,Income account,Income amount,Income balance,Expense account,Expense amount,Expense balance,Comment,Category of Статья,Category of Агент,Category of Проект
+,2/04/2009 22:16,,,,RUR - Наличные,-107,"2,477.00",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,2/04/2009 22:19,,,,RUR - Наличные,-50,"2,427.00",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты\Света,
+,2/04/2009 22:19,,,,RUR - Наличные,-9,"2,418.00",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Вадим,
+,2/04/2009 22:19,,,,RUR - Наличные,-85,"2,333.00",,\Все статьи расхода\Здоровье,\Все платёжные агенты\Вадим,
+,3/04/2009 20:25,,,,RUR - Наличные,-180,"2,153.00",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,3/04/2009 20:26,RUR - Наличные,"5,000.00","7,153.00",RUR - CitiBank Card,"-5,000.00","49,355.59",,,,
+,3/04/2009 20:27,,,,RUR - Наличные,-427.9,"6,725.10",,"\Все статьи расхода\Досуг, развлечения\Книги",\Все платёжные агенты\Света,
+,3/04/2009 20:28,,,,RUR - Наличные,-650,"6,075.10",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,4/04/2009 19:40,,,,RUR - Наличные,-289,"5,786.10",,\Все статьи расхода\Одежда,\Все платёжные агенты\Вадим,
+,4/04/2009 19:41,,,,RUR - Наличные,-58,"5,728.10",,"\Все статьи расхода\Досуг, развлечения",\Все платёжные агенты\Вадим,
+,4/04/2009 19:43,,,,RUR - Наличные,-225,"5,503.10",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Света,
+,4/04/2009 19:44,,,,RUR - CitiBank Credit Card,"-2,890.00","133,220.28",ветровка,\Все статьи расхода\Одежда,\Все платёжные агенты\Вадим,
+,4/04/2009 19:45,,,,RUR - Наличные,-586.02,"4,917.08",,\Все статьи расхода\Средства гигиены и косметика,\Все платёжные агенты,
+,4/04/2009 19:49,,,,RUR - Наличные,"-1,469.17","3,447.91",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,4/04/2009 19:49,,,,RUR - CitiBank Credit Card,"-4,860.00","128,360.28",,\Все статьи расхода\Одежда,\Все платёжные агенты\Вадим,
+,4/04/2009 19:50,,,,RUR - CitiBank Credit Card,"-1,995.00","126,365.28",,\Все статьи расхода\Одежда,\Все платёжные агенты\Света,
+,4/04/2009 19:59,,,,RUR - CitiBank Credit Card,-65,"126,300.28",,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,4/04/2009 20:00,RUR - CitiBank Credit Card,102.63,"126,402.91",,,,,\Все статьи прихода\Доходы по вкладам,\Все платёжные агенты\Света,
+,6/04/2009 22:13,,,,RUR - Наличные,-209,"3,238.91",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,7/04/2009 22:13,,,,RUR - Наличные,-126,"3,112.91",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,7/04/2009 22:14,,,,RUR - Наличные,-152,"2,960.91",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,7/04/2009 22:14,RUR - Наличные,"7,000.00","9,960.91",RUR - CitiBank Card,"-7,000.00","42,355.59",,,,
+,7/04/2009 22:15,,,,RUR - Наличные,-400,"9,560.91",ремонт,\Все статьи расхода\Одежда\обувь,\Все платёжные агенты\Света,
+,7/04/2009 22:15,,,,RUR - Наличные,-196,"9,364.91",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,8/04/2009 22:37,RUR - Наличные,"16,932.10","26,297.01",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Вадим,
+,8/04/2009 22:38,RUR - Сбербанк Card,"17,000.00","19,208.83",RUR - Наличные,"-17,000.00","9,297.01",,,,
+,8/04/2009 22:38,,,,RUR - Наличные,-25,"9,272.01",,\Все статьи расхода\Транспорт\Общественный,\Все платёжные агенты\Вадим,
+,8/04/2009 22:39,,,,RUR - Наличные,-89,"9,183.01",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,8/04/2009 22:39,RUR - Наличные,500,"9,683.01",RUR - CitiBank Card,-500,"41,855.59",,,,
+,8/04/2009 22:41,,,,RUR - CitiBank Card,-65,"41,790.59",,\Все статьи расхода\%,\Все платёжные агенты\Света,
+,8/04/2009 23:16,,,,RUR - Наличные,-148.5,"9,534.51",,\Все статьи расхода\Здоровье\Лекарства,\Все платёжные агенты\Света,
+,9/04/2009 22:19,,,,RUR - Наличные,-84,"9,450.51",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,9/04/2009 22:19,,,,RUR - Наличные,-15,"9,435.51",,\Все статьи расхода\Хомячело,\Все платёжные агенты\Света,
+,9/04/2009 22:19,,,,RUR - Наличные,-225.1,"9,210.41",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,9/04/2009 22:24,,,,RUR - CitiBank Credit Card,-570,"125,832.91",,\Все статьи расхода\Связь\Интернет,\Все платёжные агенты\Света,
+,10/04/2009 22:21,RUR - CitiBank Card,"73,244.08","115,034.67",,,,,\Все статьи прихода\Зарплата,\Все платёжные агенты\Света,
+,10/04/2009 22:52,,,,RUR - Наличные,-122,"9,088.41",,\Все статьи расхода\Продукты\Питание работа,\Все платёжные агенты\Света,
+,10/04/2009 22:52,,,,RUR - Наличные,-102,"8,986.41",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты\Света,
+,10/04/2009 22:52,,,,RUR - Наличные,-540,"8,446.41",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты\Света,
+,11/04/2009 22:13,,,,RUR - Наличные,-310,"8,136.41",,\Все статьи расхода\Транспорт\Авто\Бензин,\Все платёжные агенты\Вадим,
+,11/04/2009 22:14,,,,RUR - Наличные,-443.3,"7,693.11",,\Все статьи расхода\Продукты\Точки общепита,\Все платёжные агенты,
+,11/04/2009 22:14,,,,RUR - Наличные,"-4,000.00","3,693.11",,"\Все статьи расхода\Досуг, развлечения\спорт",\Все платёжные агенты\Вадим,
+,11/04/2009 22:15,,,,RUR - Наличные,-155,"3,538.11",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,11/04/2009 22:16,,,,RUR - CitiBank Credit Card,"-1,520.00","124,312.91",самолет,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Вадим,
+,11/04/2009 22:19,,,,RUR - CitiBank Card,-300,"114,734.67",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Вадим,
+,11/04/2009 22:19,,,,RUR - CitiBank Card,-300,"114,434.67",,\Все статьи расхода\Связь\телефон сотовый,\Все платёжные агенты\Света,
+,11/04/2009 22:19,RUR - Наличные,"10,000.00","13,538.11",RUR - CitiBank Card,"-10,000.00","104,434.67",,,,
+,11/04/2009 22:38,,,,RUR - Наличные,-278.63,"13,259.48",,\Все статьи расхода\Хомячело,\Все платёжные агенты,
+,11/04/2009 22:39,,,,RUR - Наличные,-240,"13,019.48",стоянка,\Все статьи расхода\Транспорт\Авто,\Все платёжные агенты\Вадим,
+,11/04/2009 22:39,,,,RUR - Наличные,-789.21,"12,230.27",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
+,11/04/2009 22:46,RUR - CitiBank Credit Card,"15,700.00","140,012.91",RUR - CitiBank Card,"-15,700.00","88,734.67",,,,
+,12/04/2009 20:32,,,,RUR - CitiBank Credit Card,"-3,808.00","136,204.91",,\Все статьи расхода\Одежда\обувь,\Все платёжные агенты\Вадим,
+,12/04/2009 20:33,,,,RUR - Наличные,-20,"12,210.27",открытка,"\Все статьи расхода\Досуг, развлечения\подарки",\Все платёжные агенты\Света,
+,12/04/2009 21:16,,,,RUR - Наличные,-60,"12,150.27",,\Все статьи расхода\Продукты\Питание дом,\Все платёжные агенты,
